School_ID,Name_of_School,Elementary_Middle_High_School,CPS_Performance_Policy_Status,CPS_Performance_Policy_Level,Family_Involvement_Score,Parent_Engagement_Score,Average_Student_Attence,Rate_of_Misconducts,Average_Teacher_Attence,Students_Taking_Algebra,Students_Passing_Algebra,X9_Grade_Explore_2009,X9_Grade_Explore_2010,X10_Grade_Plan_2009,X10_Grade_Plan_2010,X11_Grade_Average_ACT_2011,Net_Change_EXPLORE_PLAN,Net_Change_PLAN_ACT,College_Eligibility,Graduation_Rate,College_Enrollment_Rate,College_Enrollment,Freshman_on_Track_Rate,Probation
609966,Charles G Hammond Elementary School,ES,Not on Probation,Level 2,,43,95.3,8.5,95.2,25,,,,,,,,,,,,446,,0
610539,Marvin Camras Elementary School,ES,Not on Probation,Not Enough Data,58,51,95.1,4.3,0,,,,,,,,,,,,,826,,0
609852,Eliza Chappell Elementary School,ES,Not on Probation,Level 1,65,50,95.1,2.9,96.7,27.5,63.6,,,,,,,,,,,451,,0
609835,Daniel R Cameron Elementary School,ES,Probation,Level 3,,46,92.6,153.9,96.2,,,,,,,,,,,,,828,,1
610521,Sir Miles Davis Magnet Elementary Academy,ES,Probation,Level 3,,,93,57.8,94.5,25.5,,,,,,,,,,,,354,,1
609818,Luther Burbank Elementary School,ES,Not on Probation,Level 2,,47,95.2,9.8,95.5,,,,,,,,,,,,,1139,,0
610298,Lenart Elementary Regional Gifted Center,ES,Not on Probation,Level 1,58,52,97.4,0.3,97.8,100,70,,,,,,,,,,,328,,0
610200,James N Thorp Elementary School,ES,Probation,Level 3,,,91.8,45.4,95.9,14,,,,,,,,,,,,449,,1
609680,Walter Payton College Preparatory High School,HS,Not on Probation,Level 1,,,93.4,0.7,96.1,,,21.2,21.8,23.1,23.2,27,2,3.9,96.4,96.9,82.4,881,90.7,0
610056,Roswell B Mason Elementary School,ES,Probation,Level 3,47,51,92.4,31,95,,,,,,,,,,,,,479,,1
609848,Ira F Aldridge Elementary School,ES,Probation,Level 3,,49,92.9,49,96.3,,,,,,,,,,,,,285,,1
610038,Abraham Lincoln Elementary School,ES,Not on Probation,Level 1,99,56,96,2,96.4,67.1,54.5,,,,,,,,,,,813,,0
610123,William Penn Elementary School,ES,Probation,Level 3,,52,91.8,5.7,95.2,,,,,,,,,,,,,423,,1
609863,Christopher Columbus Elementary School,ES,Not on Probation,Level 1,,54,95.5,2.4,96.9,,,,,,,,,,,,,309,,0
610226,Socorro Sandoval Elementary School,ES,Probation,Level 3,,44,95.8,3.7,96.5,,,,,,,,,,,,,1186,,1
609722,Manley Career Academy High School,HS,Probation,Level 3,39,,66.8,19.7,95.4,,,12.2,11.9,13.3,13,13.8,0.8,0.5,6.7,49,51.9,599,59.3,1
610308,Wilma Rudolph Elementary Learning Center,ES,Not Applicable,Not Enough Data,,57,80,0,95.6,,,,,,,,,,,,,100,,0
609749,Northside College Preparatory High School,HS,Not on Probation,Level 1,,57,95.7,2.8,96.8,,,22.4,22.2,24.5,24.7,28.8,2.3,4.3,98,97.6,90.7,1053,95.9,0
609958,Frank W Gunsaulus Elementary Scholastic Academy,ES,Not on Probation,Level 1,38,49,96.6,87.3,96,22.4,100,,,,,,,,,,,867,,0
610121,Washington Irving Elementary School,ES,Not on Probation,Level 2,,48,95.6,15.1,95.9,,,,,,,,,,,,,482,,0
610352,Durkin Park Elementary School,ES,Not on Probation,Level 1,74,53,95.4,0.7,95.8,,,,,,,,,,,,,543,,0
609856,Henry Clay Elementary School,ES,Not on Probation,Level 2,39,,95.2,6,96.1,,,,,,,,,,,,,633,,0
609919,John Fiske Elementary School,ES,Probation,Level 3,24,47,92.9,37.1,91.7,,,,,,,,,,,,,254,,1
609938,Joseph E Gary Elementary School,ES,Not on Probation,Level 2,27,45,96.1,16.8,96.2,,,,,,,,,,,,,1204,,0
610239,Richard J Daley Elementary Academy,ES,Not on Probation,Level 2,40,46,94.9,44.2,96,13.2,,,,,,,,,,,,797,,0
610523,Edison Park Elementary School,ES,Not on Probation,Level 1,,56,96.1,6.9,96.6,,,,,,,,,,,,,431,,0
610047,James Madison Elementary School,ES,Probation,Level 2,,,94.9,12.4,97.7,,,,,,,,,,,,,317,,1
610244,Michele Clark Academic Prep Magnet High School,HS,Probation,Level 3,,48,79.1,24.4,95.4,,,14,13.3,14.4,14.5,15.7,0.5,1.3,13,87.4,60.4,726,78.2,1
610013,Pilsen Elementary Community Academy,ES,Not on Probation,Level 1,40,,96,9.4,96.7,,,,,,,,,,,,,447,,0
610394,Uplift Community High School,HS,Not on Probation,Level 2,50,,88.7,8.1,95.9,,,13.6,13.9,14.9,14.7,16.9,1.1,2,19.6,62.4,65,473,91.4,0
610243,John Calhoun North Elementary School,ES,Not on Probation,Level 1,51,43,95.9,4.6,96.5,,,,,,,,,,,,,328,,0
610285,Granville T Woods Math & Science Academy Elementary School,ES,Not on Probation,Level 2,,48,91.9,41.5,95.2,,,,,,,,,,,,,402,,0
609799,Alexander Graham Bell Elementary School,ES,Not on Probation,Level 1,88,,96.3,6.3,95.9,58.1,65.6,,,,,,,,,,,998,,0
610257,Morton School of Excellence,ES,Probation,Level 1,49,52,93.6,73.9,97.1,,,,,,,,,,,,,349,,1
609725,Morgan Park High School,HS,Not on Probation,Level 2,,,84.2,11.1,94.6,98.5,64.1,14.7,14.6,15.6,15.9,17.8,1.2,2.2,33.6,80,78.5,1584,73.3,0
610381,Bronzeville Scholastic Academy High School,HS,Probation,Level 3,38,51,92.3,16.2,95.6,,,14.3,13.8,15.3,15.7,16.3,1.4,1,14.7,85.3,73.2,550,71.1,1
610251,Willa Cather Elementary School,ES,Not on Probation,Level 1,70,56,94.9,29.5,96.4,,,,,,,,,,,,,234,,0
609698,William J Bogan High School,HS,Probation,Level 3,,41,75.2,5.8,94.3,,,13.4,13.3,14.3,14.3,15.2,0.9,0.9,13.1,52.5,50,1656,67.1,1
609712,Emil G Hirsch Metropolitan High School,HS,Probation,Level 3,46,,84.8,47.1,95.4,,,11.5,11.2,12.9,12.4,14.1,0.9,1.2,10.8,36.2,45.1,458,69.5,1
610178,Theophilus Schmid Elementary School,ES,Not on Probation,Level 2,,41,92.1,67.1,96.3,43.8,,,,,,,,,,,,185,,0
609853,Salmon P Chase Elementary School,ES,Not on Probation,Level 2,28,,95.4,18.5,95.8,,,,,,,,,,,,,504,,0
609773,Louis A Agassiz Elementary School,ES,Not on Probation,Level 1,,56,95.2,32.6,96.8,,,,,,,,,,,,,432,,0
610143,William C Reavis Math & Science Specialty Elementary School,ES,Probation,Level 3,6,45,93.5,37.2,94.8,,,,,,,,,,,,,311,,1
610057,Fairfield Elementary Academy,ES,Probation,Level 3,24,,93.4,43.4,93.3,16.1,,,,,,,,,,,,604,,1
609854,Frederic Chopin Elementary School,ES,Not on Probation,Level 1,99,49,96.9,1.7,96,,,,,,,,,,,,,269,,0
609961,Ninos Heroes Elementary Academic Center,ES,Probation,Level 2,,48,93.9,25.9,95,,,,,,,,,,,,,435,,1
610062,George B McClellan Elementary School,ES,Probation,Level 2,,53,93.2,7.8,96,,,,,,,,,,,,,283,,1
610501,Austin Polytechnical Academy High School,HS,Probation,Level 2,,,70.1,21.5,95.2,,,12,12.1,13.6,13.1,14.8,1.1,1.2,8.5,,,250,56.1,1
610105,Oriole Park Elementary School,ES,Not on Probation,Level 1,,60,96.5,2.3,95.5,87.1,53.3,,,,,,,,,,,648,,0
609837,Andrew Carnegie Elementary School,ES,Probation,Level 3,51,49,94.6,6.2,94.4,48.1,8.3,,,,,,,,,,,730,,1
610054,John L Marsh Elementary School,ES,Probation,Level 2,53,50,95.7,5.4,95.5,,,,,,,,,,,,,841,,1
610225,John Whistler Elementary School,ES,Probation,Level 3,32,52,92.4,11.1,97,,,,,,,,,,,,,375,,1
610280,Kate S Buckingham Special Education Center,ES,Not Applicable,Level 3,,,83.4,116.9,94.4,,,,,,,,,,,,,26,,0
610392,World Language Academy High School,HS,Not on Probation,Level 2,33,50,91.6,4,96,,,12.9,13.4,14.6,14.1,16.2,1.2,1.6,14.6,69.4,48.1,382,76,0
609777,Phillip D Armour Elementary School,ES,Probation,Level 2,,53,93.9,16,95.8,,,,,,,,,,,,,365,,1
609941,Asa Philip Randolph Elementary School,ES,Probation,Level 3,,45,92.1,43.5,95.3,,,,,,,,,,,,,573,,1
610060,Andrew Jackson Elementary Language Academy,ES,Not on Probation,Level 1,,,97.4,0.7,96.1,48.4,80,,,,,,,,,,,556,,0
609772,Jane Addams Elementary School,ES,Not on Probation,Level 2,50,53,96,5,96.8,,,,,,,,,,,,,928,,0
610385,Multicultural Academy of Scholarship,HS,Probation,Level 2,,56,89.2,22.4,96.7,,,13,13,14.4,14.1,15.6,1.1,1.2,21.1,58,58.5,324,78.7,1
610087,Blair Early Childhood Center,ES,,,64,58,80.2,0.8,94.8,,,,,,,,,,,,,137,,0
609808,Alex Haley Elementary Academy,ES,Not on Probation,Level 2,,47,94.9,2.9,94.7,,,,,,,,,,,,,525,,0
609779,George Armstrong International Studies Elementary School,ES,Not on Probation,Level 1,57,,96.3,8.1,96.3,30.8,60.9,,,,,,,,,,,1509,,0
610535,Mason High School,HS,Not on Probation,Not Enough Data,,50,90.4,44.3,0,,,12.6,13.5,,13.9,,1.3,,,,,48,40.9,0
609896,Thomas Drummond Elementary School,ES,Not on Probation,Level 1,,58,95.2,0.3,96.7,,,,,,,,,,,,,352,,0
610198,Douglas Taylor Elementary School,ES,Not on Probation,Level 2,,42,95.1,16.6,94.3,,,,,,,,,,,,,632,,0
609862,Edward Coles Elementary Language Academy,ES,Probation,Level 2,43,50,95.1,24.9,95,,,,,,,,,,,,,554,,1
610117,Louis Pasteur Elementary School,ES,Not on Probation,Level 2,,,95,5,95.8,,,,,,,,,,,,,1173,,0
609756,Marie Sklodowska Curie Metropolitan High School,HS,Probation,Level 3,35,,85,9.1,95,,,14.2,14.2,15.6,15.1,16.9,0.9,1.3,22.9,76.1,61.3,3320,61,1
609739,George Washington High School,HS,Probation,Level 2,53,,80.2,12.7,95.1,,,13.4,13.6,14.3,14.1,15.5,0.7,1.2,14,71.6,50.9,1524,78.6,1
609994,William G Hibbard Elementary School,ES,Not on Probation,Level 2,,49,96.5,3,96.9,,,,,,,,,,,,,1239,,0
610391,Robert Lindblom Math & Science Academy High School,HS,Not on Probation,Level 1,,55,92.7,2.1,95.9,61.1,78.2,18,18.5,19.1,19,22.2,1,3.1,29.1,68.9,85.9,916,83.3,0
609917,Fernwood Elementary School,ES,Probation,Level 3,37,48,93.4,29,96.1,,,,,,,,,,,,,344,,1
610232,Williams Multiplex Elementary School,ES,Probation,Level 2,,50,91.6,17,95.9,,,,,,,,,,,,,266,,1
610305,George Leland Elementary School,ES,Probation,Level 3,71,60,92.6,3.3,94.9,,,,,,,,,,,,,182,,1
610316,Amelia Earhart Options for Knowledge Elementary School,ES,Not on Probation,Level 2,63,,96.3,33.4,95.4,,,,,,,,,,,,,264,,0
610367,Oscar DePriest Elementary School,ES,Probation,Level 2,39,47,92.7,20,95.6,,,,,,,,,,,,,524,,1
609764,Benito Juarez Community Academy High School,HS,Probation,Level 3,53,,83.7,17.2,95.8,,,13.2,13.7,14.6,14.5,15.8,1.3,1.2,14.8,56.2,48.8,1683,71.1,1
610004,Countee Cullen Elementary School,ES,Probation,Level 3,,,94.1,36.9,96.3,,,,,,,,,,,,,233,,1
610026,John H Kinzie Elementary School,ES,Not on Probation,Level 1,,50,95.4,14.9,95.3,26.5,63.6,,,,,,,,,,,733,,0
609997,Oliver Wendell Holmes Elementary School,ES,Probation,Level 3,,48,87,139.8,92.4,9.1,,,,,,,,,,,,334,,1
610368,Langston Hughes Elementary School,ES,Probation,Level 3,54,46,90,27.5,95.5,,,,,,,,,,,,,424,,1
609713,Hyde Park Academy High School,HS,Probation,Level 3,39,,70.5,18.5,94.2,,,13,12.8,14.4,14.1,15.6,1.1,1.2,11.1,51.1,57.6,1518,63.7,1
609723,John Marshall Metropolitan High School,HS,Probation,Level 3,52,,74.1,42.9,95.8,,,11.7,11.8,13.4,13.2,14.6,1.5,1.2,6.5,36.8,45.2,726,55.2,1
610291,Richard Henry Lee Elementary School,ES,Not on Probation,Level 2,,,95,21.8,95.3,,,,,,,,,,,,,832,,0
609821,Burnham Elementary Inclusive Academy,ES,Not on Probation,Level 1,77,54,95.5,29.4,96.9,,,,,,,,,,,,,286,,0
610129,Josiah Pickard Elementary School,ES,Probation,Level 2,36,48,95.8,5.1,96.4,,,,,,,,,,,,,656,,1
609883,Charles S Deneen Elementary School,ES,Probation,Level 2,33,,93.8,39.5,97.1,,,,,,,,,,,,,551,,1
610271,Jensen Elementary Scholastic Academy,ES,Probation,Level 2,41,46,93.1,17.2,95.3,,,,,,,,,,,,,364,,1
610277,Anthony Overton Elementary School,ES,Probation,Level 3,,52,90.5,24.9,94.9,,,,,,,,,,,,,436,,1
609972,Helge A Haugan Elementary School,ES,Not on Probation,Level 2,39,46,96.2,23.4,94.6,,,,,,,,,,,,,1299,,0
609805,Scott Joplin Elementary School,ES,Probation,Level 3,29,52,95,44.5,94.6,,,,,,,,,,,,,538,,1
610191,Stone Elementary Scholastic Academy,ES,Not on Probation,Level 1,,55,96.4,1.9,96,57.1,56.3,,,,,,,,,,,646,,0
610114,Francis Parkman Elementary School,ES,Probation,Level 3,25,,90.6,20.7,95.3,,,,,,,,,,,,,224,,1
609737,Friedrich W von Steuben Metropolitan Science High School,HS,Not on Probation,Level 2,39,,87,4,95.6,,,15.9,15.7,17.3,16.7,20.4,0.8,3.1,34.6,88.2,78.5,1636,76.8,0
609842,Rachel Carson Elementary School,ES,Not on Probation,Level 2,36,50,97.6,3.9,97.7,,,,,,,,,,,,,1222,,0
610016,Kate S Kellogg Elementary School,ES,Not on Probation,Level 2,,53,96.3,12,95.4,28.2,36.4,,,,,,,,,,,283,,0
609928,Melville W Fuller Elementary School,ES,Probation,Level 3,,51,91.8,40.2,93.9,,,,,,,,,,,,,241,,1
610192,Harriet Beecher Stowe Elementary School,ES,Probation,Level 3,,44,93.8,13.7,94.7,19.1,11.1,,,,,,,,,,,893,,1
610174,James Shields Elementary School,ES,Not on Probation,Level 2,,50,97,13.9,97,,,,,,,,,,,,,1834,,0
609745,Southside Occupational Academy High School,HS,Not Applicable,Not Enough Data,52,63,85.5,13.1,95.2,,,,,,,,,,40,71.7,,201,,0
609885,Dewey Elementary Academy of Fine Arts,ES,Probation,Level 3,,52,90.7,26.3,95.5,,,,,,,,,,,,,357,,1
610103,Isabelle C O'Keeffe Elementary School,ES,Probation,Level 3,,40,92.1,24.6,94.6,17.9,,,,,,,,,,,,575,,1
609819,Edmond Burke Elementary School,ES,Probation,Level 3,,48,89.3,82,95.5,,,,,,,,,,,,,244,,1
609944,Virgil Grissom Elementary School,ES,Not on Probation,Level 2,66,,95.5,2.5,96.4,,,,,,,,,,,,,330,,0
609817,Lyman A Budlong Elementary School,ES,Not on Probation,Level 2,56,50,95.4,3.9,95.7,48.1,16,,,,,,,,,,,864,,0
609754,Chicago Military Academy High School,HS,Not on Probation,Level 2,,,90.3,28.2,95.6,,,14.8,14.4,15.2,15.6,17.4,0.8,2.2,24.4,83.6,69.3,483,88.1,0
609872,Manuel Perez Elementary School,ES,Not on Probation,Level 1,,52,95.9,7.3,96.6,35.6,18.8,,,,,,,,,,,426,,0
610534,Skinner North,ES,Not on Probation,Not Enough Data,,64,96.4,0,97.8,,,,,,,,,,,,,242,,0
610543,Eric Solorio Academy High School,HS,Not on Probation,Not Enough Data,54,53,92.2,3,0,,,,13.9,,,,,,,,,581,85.6,0
609692,Neal F Simeon Career Academy High School,HS,Probation,Level 3,,,78.6,2.1,94.3,,,14.3,14.1,15.3,14.8,16.2,0.5,0.9,14.8,75.2,74,1535,68.5,1
609694,John Hancock College Preparatory High School,HS,Probation,Level 3,44,50,78.2,7.5,95.9,,,14.6,13.8,14.7,15,15.8,0.4,1.1,22.6,56.1,45.9,967,87.4,1
610039,Carl von Linne Elementary School,ES,Not on Probation,Level 1,49,50,95.8,1.8,96.3,48.2,24,,,,,,,,,,,644,,0
609861,Henry R Clissold Elementary School,ES,Not on Probation,Level 2,61,52,95.1,8.4,96.9,42.2,44.4,,,,,,,,,,,588,,0
610199,Johnnie Colemon Elementary Academy,ES,Not on Probation,Level 2,,53,95.9,23.4,95.4,,,,,,,,,,,,,266,,0
609695,Roald Amundsen High School,HS,Probation,Level 3,44,43,81.1,8.7,95.9,,,13.8,13.9,14.9,14.8,16.7,1,1.8,16,64.6,49.1,1532,72.2,1
609708,Edwin G Foreman High School,HS,Probation,Level 3,,,84.3,10.3,94.8,,,13,12.7,14.1,13.7,15.3,0.7,1.2,12.5,59.7,40.9,1716,75.6,1
610231,National Teachers Elementary Academy,ES,Not on Probation,Level 1,70,56,94.7,9.2,96.3,,,,,,,,,,,,,446,,0
609790,Clara Barton Elementary School,ES,Probation,Level 3,42,51,91.7,25.3,96.4,60,3.8,,,,,,,,,,,602,,1
609913,Elaine O Goodlow Elementary Magnet School,ES,Probation,Level 3,42,46,91.6,47.5,96,,,,,,,,,,,,,419,,1
609950,Josefa Ortiz De Dominguez Elementary School,ES,,,69,51,95.8,3.6,97,,,,,,,,,,,,,793,,0
610254,Dvorak Technology Academy,ES,Probation,Level 3,22,,94.2,4.4,95.4,20.3,16.7,,,,,,,,,,,556,,1
610070,James B McPherson Elementary School,ES,Not on Probation,Level 2,,52,96.5,1.2,96.3,,,,,,,,,,,,,695,,0
609676,Paul Laurence Dunbar Career Academy High School,HS,Probation,Level 3,57,,76.9,21.5,96,,,12.8,12.7,13.9,13.8,14.7,1,0.8,6.9,61.7,51.5,1456,65.7,1
610281,Adam Clayton Powell Paideia Community Academy Elementary School,ES,Not on Probation,Level 1,66,46,95.6,15.7,95.3,17.2,27.3,,,,,,,,,,,521,,0
610216,John A Walsh Elementary School,ES,Not on Probation,Level 2,,48,95.1,2.9,95.3,40,42.9,,,,,,,,,,,501,,0
610220,Thomas J Waters Elementary School,ES,Not on Probation,Level 1,,52,96.1,0.4,95.1,,,,,,,,,,,,,590,,0
609978,Wendell Smith Elementary School,ES,Probation,Level 3,24,42,92.1,90,94.1,,,,,,,,,,,,,363,,1
610043,Joseph Lovett Elementary School,ES,Probation,Level 2,,49,95.4,16.1,95.4,,,,,,,,,,,,,490,,1
609732,Charles P Steinmetz Academic Centre High School,HS,Probation,Level 3,35,,79.2,30.4,96.2,,,13,13.8,13.8,14.3,16.1,1.3,2.3,16.3,56.7,47,1890,70.3,1
609741,Gurdon S Hubbard High School,HS,Not on Probation,Level 2,,,89.3,4.3,96.4,,,14.4,14.2,15.3,15.3,17.3,0.9,2,30.1,57.2,51.3,1672,64.5,0
610242,Joseph Brennemann Elementary School,ES,Not on Probation,Level 1,56,53,96.5,13.7,97.7,,,,,,,,,,,,,362,,0
610180,John M Smyth Elementary School,ES,Probation,Level 3,,43,92.4,20.1,93.3,,,,,,,,,,,,,475,,1
610078,Inter-American Elementary Magnet School,ES,Not on Probation,Level 1,,51,96.2,3,96.2,32.1,83.3,,,,,,,,,,,690,,0
610234,Richard Yates Elementary School,ES,Probation,Level 3,,51,93.7,5.6,96.2,28.6,77.8,,,,,,,,,,,690,,1
609720,Albert G Lane Technical High School,HS,Not on Probation,Level 1,,,96.3,2.1,96.2,,,19.1,19.5,19.9,20.1,23.4,1,3.5,67.9,92.2,79.8,4368,90.7,0
610074,James Monroe Elementary School,ES,Probation,Level 2,,47,95.1,22.1,95.8,,,,,,,,,,,,,1125,,1
609729,Carl Schurz High School,HS,Probation,Level 3,36,,81.2,13.8,96,,,13.1,12.9,14.3,14,15.6,0.9,1.3,9.7,62.1,40.4,2366,61.6,1
610208,Mildred I Lavizzo Elementary School,ES,Probation,Level 3,35,48,91.5,39.1,95,,,,,,,,,,,,,394,,1
609736,Dyett High School,HS,Probation,Level 3,18,,62.5,24.4,93.5,,,11.6,11.7,13,12.9,14,1.3,1,3.3,33.7,51,318,37.1,1
610504,Velma F Thomas Early Childhood Center,ES,,,,55,,0,95.6,,,,,,,,,,,,,211,,0
610304,Phoenix Military Academy High School,HS,Not on Probation,Level 1,,52,92.1,4.3,97.4,,,14.7,14.9,15.9,15.9,18.6,1.2,2.7,33.9,74.8,51.3,461,74.1,0
609829,John C Burroughs Elementary School,ES,Not on Probation,Level 2,55,50,95.6,0.2,96.1,42.2,21.1,,,,,,,,,,,510,,0
610224,West Pullman Elementary School,ES,Probation,Level 3,46,47,91.2,7.6,93.8,,,,,,,,,,,,,343,,1
610136,William H Prescott Elementary School,ES,Not on Probation,Level 2,,50,93.5,73.9,97.6,,,,,,,,,,,,,240,,0
609674,Chicago Vocational Career Academy High School,HS,Probation,Level 3,43,,68.8,33.3,94.6,,,12.5,12.6,13.8,13.2,14.3,0.7,0.5,7,49.5,54,833,44.1,1
610187,Graeme Stewart Elementary School,ES,Probation,Level 2,,47,95.2,77,96.1,30.4,,,,,,,,,,,,280,,1
609830,Milton Brunson Math & Science Specialty Elementary School ,ES,Probation,Level 3,,47,91.3,16.6,95,,,,,,,,,,,,,658,,1
610279,Henry O Tanner Elementary School,ES,Probation,Level 3,,,91.8,43.1,95.6,,,,,,,,,,,,,448,,1
610355,Mary E Courtenay Elementary Language Arts Center,ES,Not on Probation,Level 2,,59,94.9,10.8,94.2,19,,,,,,,,,,,,257,,0
610299,William A Hinton Elementary School,ES,Probation,Level 3,,45,91.7,28.9,95.1,,,,,,,,,,,,,321,,1
610223,Daniel S Wentworth Elementary School,ES,Probation,Level 3,32,,91.6,73.8,95.9,,,,,,,,,,,,,365,,1
610036,Leslie Lewis Elementary School,ES,Probation,Level 3,37,42,91.8,37.7,95.3,,,,,,,,,,,,,565,,1
609828,Jonathan Burr Elementary School,ES,Not on Probation,Level 1,66,56,95.9,4.3,96.9,,,,,,,,,,,,,348,,0
610031,Jean D Lafayette Elementary School,ES,Probation,Level 3,53,52,94.1,14.3,96.3,,,,,,,,,,,,,474,,1
610205,Lyman Trumbull Elementary School,ES,Probation,Level 3,,50,94.3,17.8,95.2,,,,,,,,,,,,,438,,1
610229,A.N. Pritzker School,ES,Not on Probation,Level 1,,,94.6,36.5,95.6,,,,,,,,,,,,,669,,0
610287,Ashburn Community Elementary School,ES,Not on Probation,Level 2,76,51,95.5,28.5,97.1,40.8,40,,,,,,,,,,,490,,0
609924,Fort Dearborn Elementary School,ES,Not on Probation,Level 2,,47,93.4,24.5,95.9,,,,,,,,,,,,,478,,0
610172,William T Sherman Elementary School,ES,Probation,Level 3,,49,92.3,230.6,95,,,,,,,,,,,,,462,,1
609960,Nathan Hale Elementary School,ES,Not on Probation,Level 2,63,55,94.5,9.8,96.2,,,,,,,,,,,,,872,,0
610269,John T McCutcheon Elementary School,ES,Not on Probation,Level 2,36,52,94,8.8,94.8,,,,,,,,,,,,,355,,0
610366,Charles H Wacker Elementary School,ES,Probation,Level 2,,50,93.4,11.5,93.4,,,,,,,,,,,,,246,,1
610115,Park Manor Elementary School,ES,Probation,Level 3,42,55,94.9,16.6,96.3,,,,,,,,,,,,,352,,1
609795,George Rogers Clark Elementary School,ES,Not on Probation,Level 1,,47,93.9,14.4,96.4,29,,,,,,,,,,,,297,,0
610354,North River Elementary School,ES,Not on Probation,Level 2,60,50,95.6,20.1,96,,,,,,,,,,,,,359,,0
610146,Paul Revere Elementary School,ES,Probation,Level 3,,49,92.4,33.3,94.6,,,,,,,,,,,,,320,,1
609898,John F Eberhart Elementary School,ES,Probation,Level 3,41,,95.3,13.1,95.6,15.9,17.2,,,,,,,,,,,1777,,1
610119,Elizabeth Peabody Elementary School,ES,Not on Probation,Level 2,58,52,95.2,7.6,97,,,,,,,,,,,,,289,,0
610020,Francis Scott Key Elementary School,ES,Probation,Level 2,,44,91.9,39.6,94,,,,,,,,,,,,,301,,1
610037,Arthur A Libby Elementary School,ES,Probation,Level 3,,48,90.8,21.6,95.1,18,,,,,,,,,,,,539,,1
610170,Columbia Explorers Elementary Academy,ES,Not on Probation,Level 2,64,52,95.4,8.9,97.1,,,,,,,,,,,,,1038,,0
609826,Rosario Castellanos Elementary School,ES,Not on Probation,Level 2,24,46,96.3,24.3,96.9,,,,,,,,,,,,,525,,0
610390,Hyman G Rickover Naval Academy High School,HS,Not on Probation,Level 2,,53,92.9,15.4,95.9,,,15.2,15.4,16.5,15.8,18.7,0.6,2.2,23.4,63,63.5,423,90.7,0
610530,South Shore Fine Arts Academy,ES,Not on Probation,Not Enough Data,,56,93.6,22.4,96.3,,,,,,,,,,,,,255,,0
610044,James Russell Lowell Elementary School,ES,Probation,Level 2,,45,93.2,11.2,95.7,,,,,,,,,,,,,593,,1
609900,George W Curtis Elementary School,ES,Probation,Level 3,,68,93.8,18.2,98.1,,,,,,,,,,,,,504,,1
610206,Mark Twain Elementary School,ES,Not on Probation,Level 1,76,60,96.3,5.3,97.8,,,,,,,,,,,,,1161,,0
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,Not on Probation,Level 1,52,45,95.1,11.1,96.1,44.6,18.5,,,,,,,,,,,915,,0
610147,Philip Rogers Elementary School,ES,Not on Probation,Level 1,76,53,96.4,3,95.1,,,,,,,,,,,,,735,,0
609804,Daniel Boone Elementary School,ES,Not on Probation,Level 1,50,50,95.5,10.5,95.4,,,,,,,,,,,,,752,,0
610133,Laura S Ward Elementary School,ES,Probation,Level 3,,,92.9,3.9,97.5,,,,,,,,,,,,,429,,1
610179,Washington D Smyser Elementary School,ES,Not on Probation,Level 1,,,95.5,4.9,97.2,,,,,,,,,,,,,1047,,0
